epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5702.52,1.56744,1.14339,1.83826,0.87063,0.78,0.85006,0.46871,1.68734,1.15412,1.79971,0.00165689,0.00165689,0.00165689
43,5821.84,1.55761,1.13234,1.81777,0.84243,0.82462,0.87316,0.47685,1.67485,1.37455,1.7439,0.00164105,0.00164105,0.00164105
44,5941.1,1.55882,1.15832,1.837,0.86181,0.82514,0.88382,0.50673,1.53555,1.1646,1.89459,0.00162494,0.00162494,0.00162494
45,6058.44,1.55275,1.12106,1.82524,0.88007,0.79846,0.86939,0.48294,1.57317,1.16411,1.8344,0.00160855,0.00160855,0.00160855
46,6175.18,1.54832,1.1282,1.81232,0.84761,0.80769,0.86829,0.4792,1.57357,1.4955,1.871,0.00159191,0.00159191,0.00159191
47,6290.43,1.54556,1.12478,1.82423,0.87789,0.81692,0.88053,0.48474,1.58544,1.13358,1.88118,0.00157501,0.00157501,0.00157501
48,6405.81,1.53295,1.11178,1.80732,0.89392,0.80769,0.88222,0.49192,1.50454,1.2178,1.90792,0.00155786,0.00155786,0.00155786
49,6522.19,1.52876,1.11038,1.80873,0.87646,0.80766,0.87098,0.47704,1.55353,1.3038,1.94529,0.00154047,0.00154047,0.00154047
50,6641.82,1.53596,1.09858,1.79764,0.88653,0.79332,0.86993,0.4981,1.56408,1.49205,1.87092,0.00152285,0.00152285,0.00152285
51,6757.87,1.51678,1.09562,1.7908,0.85757,0.83385,0.88209,0.50532,1.53744,1.07162,1.8404,0.001505,0.001505,0.001505
52,6873.45,1.52522,1.09842,1.81625,0.85465,0.83226,0.88475,0.50993,1.49013,1.01903,1.9541,0.00148694,0.00148694,0.00148694
53,6991.38,1.51972,1.10009,1.80321,0.87547,0.78956,0.86871,0.49849,1.53969,1.10356,1.86673,0.00146866,0.00146866,0.00146866
