epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4127.59,1.54844,1.12334,1.82103,0.8456,0.81692,0.86615,0.48367,1.56806,1.01998,1.94157,0.00165689,0.00165689,0.00165689
43,4235.62,1.55183,1.12626,1.81589,0.87739,0.8,0.87388,0.4896,1.54471,0.94226,1.90472,0.00164105,0.00164105,0.00164105
44,4341.94,1.5604,1.1322,1.82929,0.88308,0.81337,0.87611,0.47665,1.5935,1.0153,1.90889,0.00162494,0.00162494,0.00162494
45,4450.63,1.55924,1.12332,1.84374,0.87256,0.80058,0.87166,0.4776,1.54963,0.9595,1.94293,0.00160855,0.00160855,0.00160855
46,4557.5,1.5494,1.11963,1.82607,0.87146,0.82923,0.86654,0.4708,1.53747,0.99565,2.05195,0.00159191,0.00159191,0.00159191
47,4668.03,1.54758,1.1385,1.80812,0.86583,0.80416,0.87107,0.46597,1.57068,1.03954,2.02152,0.00157501,0.00157501,0.00157501
48,4778.91,1.53258,1.10705,1.79905,0.84887,0.82092,0.88048,0.4906,1.52788,0.9532,1.95498,0.00155786,0.00155786,0.00155786
49,4889.48,1.5395,1.11605,1.82496,0.87301,0.80384,0.88416,0.50159,1.46907,0.98952,2.02467,0.00154047,0.00154047,0.00154047
50,5015.21,1.52726,1.08517,1.79366,0.86753,0.79077,0.87056,0.48716,1.48972,0.98493,2.07696,0.00152285,0.00152285,0.00152285
51,5116.46,1.52005,1.10962,1.77608,0.85541,0.81914,0.88573,0.48915,1.49691,0.91738,1.88687,0.001505,0.001505,0.001505
52,5216.14,1.51463,1.0859,1.76722,0.87662,0.80889,0.88188,0.48904,1.49868,0.95217,1.86647,0.00148694,0.00148694,0.00148694
53,5324.13,1.52314,1.09114,1.79379,0.88624,0.77901,0.86151,0.48167,1.50697,1.08807,1.91089,0.00146866,0.00146866,0.00146866
54,5426.17,1.52735,1.09674,1.78873,0.89317,0.79746,0.87765,0.49573,1.48342,0.95277,1.98197,0.00145019,0.00145019,0.00145019
55,5552.91,1.51735,1.08869,1.78055,0.88508,0.78,0.86741,0.48594,1.51799,0.9522,1.97933,0.00143152,0.00143152,0.00143152
56,5664.88,1.53102,1.08827,1.77696,0.87492,0.83385,0.89344,0.49212,1.52403,0.91137,1.96074,0.00141267,0.00141267,0.00141267
57,5782.85,1.52298,1.09037,1.78076,0.86294,0.81385,0.87105,0.49503,1.47463,0.90003,2.00187,0.00139364,0.00139364,0.00139364
58,5885.57,1.51392,1.0731,1.7702,0.90043,0.8069,0.87883,0.5157,1.46265,0.98267,1.86509,0.00137444,0.00137444,0.00137444
59,5987.96,1.48674,1.06294,1.77161,0.90398,0.78154,0.88311,0.49876,1.49651,0.94669,1.94122,0.00135509,0.00135509,0.00135509
60,6088.96,1.49711,1.06104,1.75421,0.84083,0.80154,0.86172,0.48822,1.49812,0.96363,2.06907,0.00133558,0.00133558,0.00133558
61,6193.51,1.51946,1.07227,1.79388,0.87355,0.82,0.88701,0.51224,1.45396,0.90971,2.00856,0.00131593,0.00131593,0.00131593
62,6292.44,1.4786,1.04162,1.75693,0.83646,0.84923,0.89018,0.51009,1.46625,0.88339,2.03632,0.00129614,0.00129614,0.00129614
63,6394.83,1.49136,1.06065,1.76828,0.88543,0.80848,0.89471,0.49348,1.50383,0.8899,2.02747,0.00127623,0.00127623,0.00127623
64,6496.21,1.47635,1.04493,1.73741,0.86827,0.82923,0.88613,0.50209,1.46446,0.87859,2.06982,0.0012562,0.0012562,0.0012562
65,6596.82,1.47561,1.03482,1.73722,0.90003,0.80333,0.88181,0.51345,1.43949,0.91348,1.99682,0.00123607,0.00123607,0.00123607
66,6692.87,1.47979,1.04792,1.7376,0.89764,0.79692,0.88406,0.52044,1.39795,0.94537,1.93704,0.00121583,0.00121583,0.00121583
